x,freq
-3.5,8
-3.3,10
-3.1,24
-2.9,38
-2.7,57
-2.5,133
-2.3,212
-2.1,415
-1.9,607
-1.7,1035
-1.5,1116
-1.3,1341
-1.1,1655
-0.9,2120
-0.7,1000
-0.5,1939
-0.3,1820
-0.1,1862
0.1,1980
0.3,790
0.5,1319
0.7,980
0.9,625
1.1,450
1.3,314
1.5,249
1.7,121
1.9,89
2.1,78
2.3,28
2.5,22
2.7,9
2.9,13
3.1,8
